playerId,playerName,team,friday_avg,friday_obp,friday_slg,friday_ops,sunday_avg,sunday_obp,sunday_slg,sunday_ops
ID805779,Jacob Wilson,Athletics,0.236,0.261,0.315,0.576,0.306,0.333,0.447,0.78
ID643396,Isiah Kiner-Falefa,Pittsburgh Pirates,0.26,0.295,0.342,0.637,0.306,0.328,0.387,0.715
ID687551,Drew Gilbert,San Francisco Giants,0.176,0.25,0.294,0.544,0.304,0.333,0.609,0.942
ID666182,Bo Bichette,Toronto Blue Jays,0.32,0.368,0.433,0.801,0.302,0.374,0.406,0.78
ID502054,Tommy Pham,Pittsburgh Pirates,0.214,0.312,0.375,0.687,0.301,0.312,0.479,0.791
ID670223,Matt Mervis,Miami Marlins,0.05,0.095,0.05,0.145,0.3,0.364,0.6,0.964
ID630105,Jake Cronenworth,San Diego Padres,0.277,0.385,0.385,0.77,0.3,0.395,0.514,0.909
ID457705,Andrew McCutchen,Pittsburgh Pirates,0.3,0.382,0.433,0.815,0.3,0.362,0.471,0.833
ID681624,Andy Pages,Los Angeles Dodgers,0.247,0.271,0.315,0.586,0.3,0.321,0.487,0.808
ID666018,Jonathan Aranda,Tampa Bay Rays,0.233,0.266,0.367,0.633,0.3,0.391,0.4,0.791
ID519317,Giancarlo Stanton,New York Yankees,0.206,0.308,0.5,0.808,0.3,0.364,0.425,0.789
ID602104,Ramón Urías,Houston Astros,0.3,0.3,0.4,0.7,0.3,0.364,0.4,0.764
ID670156,Miles Mastrobuoni,Seattle Mariners,0.276,0.323,0.379,0.702,0.3,0.382,0.3,0.682
ID693307,Dillon Dingler,Detroit Tigers,0.296,0.359,0.493,0.852,0.3,0.309,0.362,0.671
ID641313,Tim Anderson,Los Angeles Angels,0.083,0.154,0.083,0.237,0.3,0.333,0.3,0.633
ID676701,Alan Trejo,Colorado Rockies,0,0,0,0,0.3,0.3,0.3,0.6
ID693304,Nick Gonzales,Pittsburgh Pirates,0.288,0.343,0.373,0.716,0.298,0.355,0.404,0.759
ID672386,Alejandro Kirk,Toronto Blue Jays,0.291,0.385,0.367,0.752,0.297,0.338,0.438,0.776
ID672744,Alexander Canario,Pittsburgh Pirates,0.273,0.351,0.606,0.957,0.296,0.387,0.519,0.906
ID668930,Brice Turang,Milwaukee Brewers,0.242,0.294,0.326,0.62,0.295,0.376,0.511,0.887
ID683002,Gunnar Henderson,Baltimore Orioles,0.363,0.427,0.604,1.031,0.295,0.388,0.477,0.865
ID678882,Ceddanne Rafaela,Boston Red Sox,0.206,0.25,0.333,0.583,0.295,0.327,0.495,0.822
ID681715,Heriberto Hernández,Miami Marlins,0.162,0.279,0.405,0.684,0.295,0.354,0.432,0.786
ID647304,Josh Naylor,Seattle Mariners,0.333,0.368,0.722,1.09,0.294,0.324,0.529,0.853
ID593871,Jorge Polanco,Seattle Mariners,0.333,0.364,0.571,0.935,0.294,0.319,0.515,0.834
ID592885,Christian Yelich,Milwaukee Brewers,0.312,0.389,0.542,0.931,0.294,0.362,0.447,0.809
ID677800,Wilyer Abreu,Boston Red Sox,0.237,0.329,0.475,0.804,0.293,0.359,0.638,0.997
ID686948,Drake Baldwin,Atlanta Braves,0.263,0.323,0.386,0.709,0.293,0.359,0.448,0.807
ID641487,J.P. Crawford,Seattle Mariners,0.275,0.315,0.353,0.668,0.292,0.364,0.506,0.87
ID668901,Mark Vientos,New York Mets,0.222,0.243,0.417,0.66,0.292,0.342,0.508,0.85
ID605141,Mookie Betts,Los Angeles Dodgers,0.239,0.298,0.457,0.755,0.292,0.358,0.438,0.796
ID670623,Isaac Paredes,Houston Astros,0.328,0.419,0.562,0.981,0.291,0.339,0.545,0.884
ID669065,Kyle Stowers,Miami Marlins,0.321,0.404,0.615,1.019,0.29,0.361,0.565,0.926
ID805367,Chase Meidroth,Chicago White Sox,0.221,0.302,0.26,0.562,0.288,0.381,0.425,0.806
ID646240,Rafael Devers,Boston Red Sox,0.353,0.476,0.647,1.123,0.286,0.407,0.735,1.142
ID642708,Amed Rosario,New York Yankees,0,0,0,0,0.286,0.286,0.714,1
ID641343,Jake Bauers,Milwaukee Brewers,0.25,0.333,0.281,0.614,0.286,0.394,0.464,0.858
ID608701,Rob Refsnyder,Boston Red Sox,0.346,0.414,0.692,1.106,0.286,0.333,0.486,0.819
ID595777,Jurickson Profar,Atlanta Braves,0.327,0.397,0.5,0.897,0.286,0.365,0.446,0.811
ID694362,Blake Dunn,Cincinnati Reds,0.273,0.529,0.364,0.893,0.286,0.5,0.286,0.786
ID671218,Heliot Ramos,San Francisco Giants,0.255,0.33,0.327,0.657,0.286,0.377,0.408,0.785
ID606115,Orlando Arcia,Colorado Rockies,0.292,0.292,0.417,0.709,0.286,0.286,0.486,0.772
ID666163,Ben Rortvedt,Los Angeles Dodgers,0.2,0.2,0.4,0.6,0.286,0.444,0.286,0.73
ID493329,Yuli Gurriel,San Diego Padres,0,0,0,0,0.286,0.444,0.286,0.73
ID686475,Tyler Tolbert,Kansas City Royals,0.4,0.5,0.4,0.9,0.286,0.25,0.286,0.536
ID680574,Matt McLain,Cincinnati Reds,0.195,0.303,0.338,0.641,0.284,0.353,0.459,0.812
ID700337,Edgar Quero,Chicago White Sox,0.345,0.424,0.534,0.958,0.283,0.348,0.333,0.681
